DYG21			
0	1.6	4	7.1	9.3	9.4	11.4	24.8	25.8	26.8	27.8	28.8	29.9	30.9	32	33	34	35	36	37.1	38.1	39.2	40.3	41.3	42.3	43.4	44.4	45.4	46.4	47.5	48.6	49.7	50.7	51.7	52.7	53.7	54.8	55.8	56.9	57.9	58.9	59.9	61	62	63.1	64.1	65.1	66.1	67.2	68.2	69.2	70.2	71.2	72.2	73.2	74.3	75.3	76.3	77.3	78.4	79.4	80.4	81.4	82.4	83.5	84.5	85.5	86.6	87.6	88.6	89.6	90.7	91.7	92.8	93.8	94.9	96	97	98.1	99.1	100.2	101.3	102.2	103.3	104.3	105.3	106.3	107.4	108.5	109.5	110.5	111.6	112.6	113.6	114.6	115.6	117.6	119.3	121.3	121.7	124.8	127.9	132.5	137.1	141.5	146.1	150.3	154.9	159.9	164.9	169.2	173.6	178.8	182.5	187.6	192.7	196.8	202.1	207	210.6	213.9	221.7	221.9	224.6	227.2	229.1	232.7	235.8	237	237.2	238.8	242.3	245.7	246	250.3	250.6	254.1	256.9										
117.13	111.13	111.13	111.15	110.43	107.43	107.32	98.69	98.43	98.23	98.21	98.17	98.09	98.07	98.07	98.04	98.01	97.99	97.97	97.92	97.84	97.79	97.62	97.61	97.61	97.63	97.59	97.57	97.55	97.55	97.55	97.59	97.57	97.61	97.53	97.58	97.5	97.34	97.46	97.46	97.43	97.34	97.27	97.34	97.36	97.35	97.31	97.21	97.24	97.12	97.02	97.05	97.06	97.06	97.07	97	96.88	96.94	97.04	97.07	97.03	97.02	97	97.02	97.03	97.01	97.1	97.25	97.21	97.13	97.05	97.02	97.04	97.04	97.09	97.13	97.13	97.21	97.23	97.28	97.42	97.51	97.58	97.66	97.75	97.8	97.89	97.91	97.99	98.03	98.09	98.16	98.29	98.39	98.53	98.77	99.28	99.98	100.47	101.06	101.13	101.03	101.06	101.05	101.01	100.94	100.86	100.77	100.77	100.72	100.86	100.87	100.81	100.84	100.79	100.9	100.94	100.84	100.76	100.69	100.66	100.66	101.66	101.63	101.57	101.54	102.76	103.09	103.7	105	105.25	105.58	105.82	104.75	104.77	105.9	105.91	105.9										
DYG20								
0	0.3	2.6	5.5	7.6	22.3	23.3	24.3	25.4	26.4	27.4	28	28.4	29	29.5	30	30.5	31.5	32.5	33.7	34.8	35.8	36.9	37.9	38.9	40	40.5	41	41.5	42	42.5	43.1	43.6	44.1	44.6	45.2	45.7	46.2	47.2	48.3	49.3	50.1	51.1	52.1	53.1	54.2	55.2	56.2	57.3	58.4	59.4	60.4	61.5	62.5	63.5	64.6	65.6	66.7	67.7	68.7	69.8	70.8	71.9	73	74	75	76	77	78.1	79.1	80.3	81.4	82.4	83.5	84.5	84.5	85.5	85.9	86.5	88.7	91.3	94.3	96.2	98.9	101.8	104.3	106.8	109.4	112.7	116.4	120.4	124.9	128.7	133.6	137.6	140.2	142.8	143.5	147.3	151.6	154.7	158.3	161.6	165.2	168.5	172.6	176.6	181	185.1	188	190	192.6	195.3	199.7	203.4	207.7	212.1	215.4	220.1	224.5	228.9	233.3	236.7	238.5	240.7	247	248	251.4	254.2	257.4	259.9	263.8	269.1	273.6														
118.82	110.81	110.84	110.87	110.36	98.86	98.58	97.92	97.68	97.19	96.82	96.52	96.45	96.24	96.21	95.89	95.79	95.69	95.62	95.42	95.29	95.41	95.5	95.6	95.75	95.79	95.85	95.85	95.92	95.94	96.04	96.12	96.17	96.18	96.23	96.25	96.27	96.31	96.31	96.28	96.3	96.21	96.32	96.41	96.51	96.57	96.68	96.8	96.94	97.13	97.29	97.45	97.46	97.59	97.7	97.77	97.89	98.02	98.12	98.15	98.15	98.13	98.12	98.08	98.04	97.93	97.97	97.97	98.02	98.13	98.19	98.32	98.46	98.54	98.68	98.65	98.88	98.88	99.33	100.12	100.82	101.44	101.57	101.66	101.65	101.69	101.8	101.96	102.05	102.22	102.25	102.24	102.32	102.36	102.4	102.39	102.65	102.87	102.99	102.57	102.38	102.25	102.21	102.26	102.21	102.25	102.35	102.39	102.43	102.89	102.9	102.6	102.67	102.73	102.61	102.66	102.54	102.48	102.55	102.33	102.32	102.35	102.67	103.26	103.61	104.39	108.56	108.52	108.55	108.6	108.54	108.59	108.49	108.48														
DYG19								
0	3.5	6.5	9.1	12.5	15.7	18.7	21.2	21.5	23.4	25	26	26.5	26.8	30.1	33	34.1	41.7	43.8	45.8	47.2	51	53.5	55	57.7	60.7	62.9	66	68.8	71.6	74.5	76.2	77.2	78.7	79.7	80.2	80.6	81.3	82.3	83.4	84.5	85.5	86.6	87.5	88.5	89.7	90.7	91.9	93.1	94	95.1	96.2	97.3	98.3	99.4	100.4	101.5	102.5	103.2	104.4	105.5	106.5	107.6	108.6	109.6	110.7	111.8	112.9	113.9	115	116	117.1	118.3	119.3	120.4	121.5	122.6	123.7	124.8	125.8	126.9	128.3	129.8	130.8	131.9	132.9	133.9	135	136	137.1	138.1	139.1	140.1	141.2	142.3	143.3	144.3	145.3	146.3	147.3	148.3	149.4	151.5	151.9	152.5	155.3	157.8	160.5	163.9	168.4	172.8	176.8	180.7	184	186.8	187	188.4	192	195	197.5	201.3	205.3	208.7	213	216.3	220	224.9	228.4	232.1	237.3	242.2	247.7	251.8	254.9	257.9	261.4	266	268.8	272.2	274.3	276.7	280.1	280.5	282.2	283.4	287.8	291.3	293.1
107.19	107.21	107.23	107.12	107.24	107.26	107.29	107.32	106.99	107.68	108.37	110.12	110.38	110.59	110.86	110.78	110.47	100.12	100.65	101.14	102.02	101.94	102.04	101.03	100.23	99.85	99.81	99.73	99.67	99.32	99.06	98.73	98.84	98.04	98.74	98.7	98.64	98.63	98.59	98.5	98.51	98.53	98.5	98.38	98.37	98.31	98.25	98.19	98.11	98.04	97.99	97.93	97.99	97.97	97.94	97.89	97.83	97.83	97.82	97.68	97.62	97.57	97.53	97.51	97.45	97.48	97.49	97.47	97.48	97.53	97.5	97.5	97.57	97.54	97.55	97.54	97.65	97.66	97.69	97.68	97.8	97.88	97.96	97.96	98.02	98.06	98.13	98.21	98.24	98.3	98.34	98.4	98.46	98.52	98.57	98.6	98.67	98.74	98.78	98.86	98.88	98.87	99.06	99.3	99.51	100.11	101.47	101.65	101.79	101.83	101.83	101.83	101.93	102.13	102.4	102.98	103.13	103.08	103.04	103.09	103.09	103.15	103.14	103.15	103.1	103.13	103.12	103.17	103.2	103.16	103.2	103.19	103.15	103.23	103.23	103.59	105.97	106.87	108.9	109.13	109.98	111.54	112.76	112.55	113.14	113.19	113.46	114.06
DYG18								
0	0.2	0.8	0.9	3.5	6.5	7.2	20.4	21.5	22.5	23.5	24.4	25.4	26.4	27.5	28.5	29.5	30.5	31.7	32.7	33.9	34.9	35.9	36.9	37.9	39	40.1	41.1	42.1	43.2	44.2	45.5	46.5	47.5	48.5	49.6	50.6	51.7	52.7	53.7	54.8	55.8	56.8	57.9	58.9	59.9	62	63	64.1	65.1	66.1	67.2	68.2	69.4	70.5	71.5	72.5	73.6	74.6	75.7	76.7	77.8	78.8	79.8	80.8	81.9	82.9	83.9	85	86	87	88.1	89.1	90.1	90.7	91.9	95.7	98.5	100.2	102.4	109	111	113.2	116	116	117.2	117.5																																																													
